Benchmark,ONNX,VNNLIB,,Competiton results 2023,,NeuralSat 2024,
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.00328059,5.926943879,unsat,50.8888,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.00327001,5.369189273,unsat,17.7367,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003231109,3.700718406,sat,1.0093,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.0033202,3.683660609,sat,0.9428,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003431882,3.640231994,sat,0.9371,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003260509,6.88495585,unsat,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003464292,6.869544645,unsat,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003214619,6.789572617,unsat,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003220889,5.387983105,unsat,19.7153,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003367831,6.151056925,unsat,23.6092,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.00329348,5.376091649,unsat,14.5194,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.00328085,5.438826305,unsat,15.4013,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003255029,5.386072716,unsat,15.4675,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003267189,5.418944223,unsat,15.2072,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003190438,6.633042261,unsat,72.1372,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.00328925,6.75941513,unsat,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,0.003190859,6.723796189,unsat,>120,timeout
