Benchmark,ONNX,VNNLIB,Competiton results 2023,,Alpha-beta CROWN-2024,
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.66175726,sat,0.0094,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.65108691,sat,0.0083,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.68420765,sat,0.0129,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.68362634,sat,0.009,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.66597671,sat,0.0082,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.16710977,unsat,458.8442,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.28420614,unsat,37.5411,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.44942929,unsat,45.2949,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.17274843,unsat,1.5329,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.86219232,unsat,1.5033,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.27431548,unsat,1.356,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,22.67338409,sat,0.0078,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,22.67712997,sat,0.0096,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,22.66312737,sat,0.0116,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.53129202,unsat,33.0467,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.50135854,unsat,21.1864,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.51484264,unsat,13.4456,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.27506661,unsat,1.3174,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.20568339,unsat,1.4925,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.32206595,unsat,1.3578,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.29451015,unsat,1.3612,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.32423368,unsat,1.3557,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.29325762,unsat,1.3504,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.09265908,unsat,1.5016,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.04597031,unsat,8.9282,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.07098762,unsat,3.7531,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.49308871,unsat,5.4103,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.83904274,unsat,1.518,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,24.11957363,unsat,2.8253,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.28310566,unsat,1.3589,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_3.vnnlib,23.85588201,unsat,1.4057,unsat
